label_idx	cell	target	condition	category	label_name
32	pHTE	DNase	None	DNase	32--pHTE--DNase--None
33	ProgFib	DNase	None	DNase	33--ProgFib--DNase--None
34	RWPE1	DNase	None	DNase	34--RWPE1--DNase--None
35	Stellate	DNase	None	DNase	35--Stellate--DNase--None
36	T-47D	DNase	None	DNase	36--T-47D--DNase--None
37	Adult_CD4_Th0	DNase	None	DNase	37--Adult_CD4_Th0--DNase--None
38	Urothelia	DNase	None	DNase	38--Urothelia--DNase--None
39	Urothelia	DNase	UT189	DNase	39--Urothelia--DNase--UT189
40	AG04449	DNase	None	DNase	40--AG04449--DNase--None
41	AG04450	DNase	None	DNase	41--AG04450--DNase--None
42	AG09309	DNase	None	DNase	42--AG09309--DNase--None
43	AG09319	DNase	None	DNase	43--AG09319--DNase--None
44	AG10803	DNase	None	DNase	44--AG10803--DNase--None
45	AoAF	DNase	None	DNase	45--AoAF--DNase--None
46	BE2_C	DNase	None	DNase	46--BE2_C--DNase--None
47	BJ	DNase	None	DNase	47--BJ--DNase--None
48	Caco-2	DNase	None	DNase	48--Caco-2--DNase--None
49	CD20+	DNase	None	DNase	49--CD20+--DNase--None
50	CD34+_Mobilized	DNase	None	DNase	50--CD34+_Mobilized--DNase--None
51	CMK	DNase	None	DNase	51--CMK--DNase--None
52	A549	DNase	None	DNase	52--A549--DNase--None
53	GM12878	DNase	None	DNase	53--GM12878--DNase--None
54	H1-hESC	DNase	None	DNase	54--H1-hESC--DNase--None
55	HeLa-S3	DNase	None	DNase	55--HeLa-S3--DNase--None
56	HepG2	DNase	None	DNase	56--HepG2--DNase--None
57	HMEC	DNase	None	DNase	57--HMEC--DNase--None
58	HSMMtube	DNase	None	DNase	58--HSMMtube--DNase--None
59	HSMM	DNase	None	DNase	59--HSMM--DNase--None
60	HUVEC	DNase	None	DNase	60--HUVEC--DNase--None
61	K562	DNase	None	DNase	61--K562--DNase--None
62	LNCaP	DNase	None	DNase	62--LNCaP--DNase--None
63	MCF-7	DNase	None	DNase	63--MCF-7--DNase--None
64	NHEK	DNase	None	DNase	64--NHEK--DNase--None
65	Th1	DNase	None	DNase	65--Th1--DNase--None
66	GM06990	DNase	None	DNase	66--GM06990--DNase--None
67	GM12864	DNase	None	DNase	67--GM12864--DNase--None
68	GM12865	DNase	None	DNase	68--GM12865--DNase--None
69	H7-hESC	DNase	None	DNase	69--H7-hESC--DNase--None
70	HAc	DNase	None	DNase	70--HAc--DNase--None
71	HAEpiC	DNase	None	DNase	71--HAEpiC--DNase--None
72	HA-h	DNase	None	DNase	72--HA-h--DNase--None
73	HA-sp	DNase	None	DNase	73--HA-sp--DNase--None
74	HBMEC	DNase	None	DNase	74--HBMEC--DNase--None
75	HCFaa	DNase	None	DNase	75--HCFaa--DNase--None
76	HCF	DNase	None	DNase	76--HCF--DNase--None
77	HCM	DNase	None	DNase	77--HCM--DNase--None
78	HConF	DNase	None	DNase	78--HConF--DNase--None
79	HCPEpiC	DNase	None	DNase	79--HCPEpiC--DNase--None
80	HCT-116	DNase	None	DNase	80--HCT-116--DNase--None
81	HEEpiC	DNase	None	DNase	81--HEEpiC--DNase--None
82	HFF-Myc	DNase	None	DNase	82--HFF-Myc--DNase--None
83	HFF	DNase	None	DNase	83--HFF--DNase--None
84	HGF	DNase	None	DNase	84--HGF--DNase--None
85	HIPEpiC	DNase	None	DNase	85--HIPEpiC--DNase--None
86	HL-60	DNase	None	DNase	86--HL-60--DNase--None
87	HMF	DNase	None	DNase	87--HMF--DNase--None
88	HMVEC-dAd	DNase	None	DNase	88--HMVEC-dAd--DNase--None
89	HMVEC-dBl-Ad	DNase	None	DNase	89--HMVEC-dBl-Ad--DNase--None
90	HMVEC-dBl-Neo	DNase	None	DNase	90--HMVEC-dBl-Neo--DNase--None
91	HMVEC-dLy-Ad	DNase	None	DNase	91--HMVEC-dLy-Ad--DNase--None
92	HMVEC-dLy-Neo	DNase	None	DNase	92--HMVEC-dLy-Neo--DNase--None
93	HMVEC-dNeo	DNase	None	DNase	93--HMVEC-dNeo--DNase--None
94	HMVEC-LBl	DNase	None	DNase	94--HMVEC-LBl--DNase--None
95	HMVEC-LLy	DNase	None	DNase	95--HMVEC-LLy--DNase--None
96	HNPCEpiC	DNase	None	DNase	96--HNPCEpiC--DNase--None
97	HPAEC	DNase	None	DNase	97--HPAEC--DNase--None
98	HPAF	DNase	None	DNase	98--HPAF--DNase--None
99	HPdLF	DNase	None	DNase	99--HPdLF--DNase--None
100	HPF	DNase	None	DNase	100--HPF--DNase--None
101	HRCEpiC	DNase	None	DNase	101--HRCEpiC--DNase--None
102	HRE	DNase	None	DNase	102--HRE--DNase--None
103	HRGEC	DNase	None	DNase	103--HRGEC--DNase--None
104	HRPEpiC	DNase	None	DNase	104--HRPEpiC--DNase--None
105	HVMF	DNase	None	DNase	105--HVMF--DNase--None
106	Jurkat	DNase	None	DNase	106--Jurkat--DNase--None
107	Monocytes-CD14+_RO01746	DNase	None	DNase	107--Monocytes-CD14+_RO01746--DNase--None
108	NB4	DNase	None	DNase	108--NB4--DNase--None
109	NH-A	DNase	None	DNase	109--NH-A--DNase--None
110	NHDF-Ad	DNase	None	DNase	110--NHDF-Ad--DNase--None
111	NHDF-neo	DNase	None	DNase	111--NHDF-neo--DNase--None
112	NHLF	DNase	None	DNase	112--NHLF--DNase--None
113	NT2-D1	DNase	None	DNase	113--NT2-D1--DNase--None
114	PANC-1	DNase	None	DNase	114--PANC-1--DNase--None
115	PrEC	DNase	None	DNase	115--PrEC--DNase--None
116	RPTEC	DNase	None	DNase	116--RPTEC--DNase--None
117	SAEC	DNase	None	DNase	117--SAEC--DNase--None
118	SKMC	DNase	None	DNase	118--SKMC--DNase--None
119	SK-N-MC	DNase	None	DNase	119--SK-N-MC--DNase--None
120	SK-N-SH_RA	DNase	None	DNase	120--SK-N-SH_RA--DNase--None
121	Th2	DNase	None	DNase	121--Th2--DNase--None
122	WERI-Rb-1	DNase	None	DNase	122--WERI-Rb-1--DNase--None
123	WI-38	DNase	4OHTAM_20nM_72hr	DNase	123--WI-38--DNase--4OHTAM_20nM_72hr
124	WI-38	DNase	None	DNase	124--WI-38--DNase--None
125	Dnd41	CTCF	None	TF	125--Dnd41--CTCF--None
126	Dnd41	EZH2	None	TF	126--Dnd41--EZH2--None
127	GM12878	CTCF	None	TF	127--GM12878--CTCF--None
128	GM12878	EZH2	None	TF	128--GM12878--EZH2--None
129	H1-hESC	CHD1	None	TF	129--H1-hESC--CHD1--None
130	H1-hESC	CTCF	None	TF	130--H1-hESC--CTCF--None
131	H1-hESC	EZH2	None	TF	131--H1-hESC--EZH2--None
132	H1-hESC	JARID1A	None	TF	132--H1-hESC--JARID1A--None
133	H1-hESC	RBBP5	None	TF	133--H1-hESC--RBBP5--None
134	HeLa-S3	CTCF	None	TF	134--HeLa-S3--CTCF--None
135	HeLa-S3	EZH2	None	TF	135--HeLa-S3--EZH2--None
136	HeLa-S3	Pol2(b)	None	Pol	136--HeLa-S3--Pol2_b_--None
137	HepG2	CTCF	None	TF	137--HepG2--CTCF--None
138	HepG2	EZH2	None	TF	138--HepG2--EZH2--None
139	HMEC	CTCF	None	TF	139--HMEC--CTCF--None
140	HMEC	EZH2	None	TF	140--HMEC--EZH2--None
141	HSMM	CTCF	None	TF	141--HSMM--CTCF--None
142	HSMM	EZH2	None	TF	142--HSMM--EZH2--None
143	HSMMtube	CTCF	None	TF	143--HSMMtube--CTCF--None
144	HSMMtube	EZH2	None	TF	144--HSMMtube--EZH2--None
145	HUVEC	CTCF	None	TF	145--HUVEC--CTCF--None
146	HUVEC	EZH2	None	TF	146--HUVEC--EZH2--None
147	HUVEC	Pol2(b)	None	Pol	147--HUVEC--Pol2_b_--None
148	K562	CHD1	None	TF	148--K562--CHD1--None
149	K562	CTCF	None	TF	149--K562--CTCF--None
150	K562	EZH2	None	TF	150--K562--EZH2--None
151	K562	HDAC1	None	TF	151--K562--HDAC1--None
152	K562	HDAC2	None	TF	152--K562--HDAC2--None
153	K562	HDAC6	None	TF	153--K562--HDAC6--None
154	K562	EP300	None	TF	154--K562--EP300--None
155	K562	PHF8	None	TF	155--K562--PHF8--None
156	K562	PLU1	None	TF	156--K562--PLU1--None
157	K562	Pol2(b)	None	Pol	157--K562--Pol2_b_--None
158	K562	RBBP5	None	TF	158--K562--RBBP5--None
159	K562	SAP30	None	TF	159--K562--SAP30--None
160	NH-A	CTCF	None	TF	160--NH-A--CTCF--None
161	NH-A	EZH2	None	TF	161--NH-A--EZH2--None
162	NHDF-Ad	CTCF	None	TF	162--NHDF-Ad--CTCF--None
163	NHDF-Ad	EZH2	None	TF	163--NHDF-Ad--EZH2--None
164	NHEK	CTCF	None	TF	164--NHEK--CTCF--None
165	NHEK	EZH2	None	TF	165--NHEK--EZH2--None
166	NHEK	Pol2(b)	None	Pol	166--NHEK--Pol2_b_--None
167	NHLF	CTCF	None	TF	167--NHLF--CTCF--None
168	NHLF	EZH2	None	TF	168--NHLF--EZH2--None
169	Osteobl	CTCF	None	TF	169--Osteobl--CTCF--None
170	A549	ATF3	EtOH_0.02pct	TF	170--A549--ATF3--EtOH_0.02pct
171	A549	BCL3	EtOH_0.02pct	TF	171--A549--BCL3--EtOH_0.02pct
172	A549	CREB1	DEX_100nM	TF	172--A549--CREB1--DEX_100nM
173	A549	CTCF	DEX_100nM	TF	173--A549--CTCF--DEX_100nM
174	A549	CTCF	EtOH_0.02pct	TF	174--A549--CTCF--EtOH_0.02pct
175	A549	ELF1	EtOH_0.02pct	TF	175--A549--ELF1--EtOH_0.02pct
176	A549	ETS1	EtOH_0.02pct	TF	176--A549--ETS1--EtOH_0.02pct
177	A549	FOSL2	EtOH_0.02pct	TF	177--A549--FOSL2--EtOH_0.02pct
178	A549	FOXA1	DEX_100nM	TF	178--A549--FOXA1--DEX_100nM
179	A549	GABP	EtOH_0.02pct	TF	179--A549--GABP--EtOH_0.02pct
180	A549	GR	DEX_500pM	TF	180--A549--GR--DEX_500pM
181	A549	GR	DEX_50nM	TF	181--A549--GR--DEX_50nM
182	A549	GR	DEX_5nM	TF	182--A549--GR--DEX_5nM
183	A549	GR	DEX_100nM	TF	183--A549--GR--DEX_100nM
184	A549	NRSF	EtOH_0.02pct	TF	184--A549--NRSF--EtOH_0.02pct
185	A549	EP300	EtOH_0.02pct	TF	185--A549--EP300--EtOH_0.02pct
186	A549	Pol2	DEX_100nM	Pol	186--A549--Pol2--DEX_100nM
187	A549	Pol2	EtOH_0.02pct	Pol	187--A549--Pol2--EtOH_0.02pct
188	A549	SIN3A	EtOH_0.02pct	TF	188--A549--SIN3A--EtOH_0.02pct
189	A549	SIX5	EtOH_0.02pct	TF	189--A549--SIX5--EtOH_0.02pct
190	A549	TAF1	EtOH_0.02pct	TF	190--A549--TAF1--EtOH_0.02pct
191	A549	TCF12	EtOH_0.02pct	TF	191--A549--TCF12--EtOH_0.02pct
192	A549	USF1	DEX_100nM	TF	192--A549--USF1--DEX_100nM
193	A549	USF1	EtOH_0.02pct	TF	193--A549--USF1--EtOH_0.02pct
194	A549	USF1	EtOH_0.02pct	TF	194--A549--USF1--EtOH_0.02pct
195	A549	YY1	EtOH_0.02pct	TF	195--A549--YY1--EtOH_0.02pct
196	A549	ZBTB33	EtOH_0.02pct	TF	196--A549--ZBTB33--EtOH_0.02pct
197	ECC-1	CTCF	DMSO_0.02pct	TF	197--ECC-1--CTCF--DMSO_0.02pct
198	ECC-1	ERalpha	BPA_100nM	TF	198--ECC-1--ERalpha--BPA_100nM
199	ECC-1	ERalpha	Estradiol_10nM	TF	199--ECC-1--ERalpha--Estradiol_10nM
200	ECC-1	ERalpha	Genistein_100nM	TF	200--ECC-1--ERalpha--Genistein_100nM
201	ECC-1	FOXA1	DMSO_0.02pct	TF	201--ECC-1--FOXA1--DMSO_0.02pct
202	ECC-1	GR	DEX_100nM	TF	202--ECC-1--GR--DEX_100nM
203	ECC-1	Pol2	DMSO_0.02pct	Pol	203--ECC-1--Pol2--DMSO_0.02pct
204	GM12878	ATF2	None	TF	204--GM12878--ATF2--None
205	GM12878	ATF3	None	TF	205--GM12878--ATF3--None
206	GM12878	BATF	None	TF	206--GM12878--BATF--None
207	GM12878	BCL11A	None	TF	207--GM12878--BCL11A--None
208	GM12878	BCL3	None	TF	208--GM12878--BCL3--None
209	GM12878	BCLAF1	None	TF	209--GM12878--BCLAF1--None
210	GM12878	CEBPB	None	TF	210--GM12878--CEBPB--None
211	GM12878	EBF1	None	TF	211--GM12878--EBF1--None
212	GM12878	EGR1	None	TF	212--GM12878--EGR1--None
213	GM12878	ELF1	None	TF	213--GM12878--ELF1--None
214	GM12878	ETS1	None	TF	214--GM12878--ETS1--None
215	GM12878	FOXM1	None	TF	215--GM12878--FOXM1--None
216	GM12878	GABP	None	TF	216--GM12878--GABP--None
217	GM12878	IRF4	None	TF	217--GM12878--IRF4--None
218	GM12878	MEF2A	None	TF	218--GM12878--MEF2A--None
219	GM12878	MEF2C	None	TF	219--GM12878--MEF2C--None
220	GM12878	MTA3	None	TF	220--GM12878--MTA3--None
221	GM12878	NFATC1	None	TF	221--GM12878--NFATC1--None
222	GM12878	NFIC	None	TF	222--GM12878--NFIC--None
223	GM12878	NRSF	None	TF	223--GM12878--NRSF--None
224	GM12878	EP300	None	TF	224--GM12878--EP300--None
225	GM12878	PAX5	None	TF	225--GM12878--PAX5--None
226	GM12878	PAX5	None	TF	226--GM12878--PAX5--None
227	GM12878	PBX3	None	TF	227--GM12878--PBX3--None
228	GM12878	PML	None	TF	228--GM12878--PML--None
229	GM12878	Pol2-4H8	None	Pol	229--GM12878--Pol2-4H8--None
230	GM12878	Pol2	None	Pol	230--GM12878--Pol2--None
231	GM12878	POU2F2	None	TF	231--GM12878--POU2F2--None
232	GM12878	PU.1	None	TF	232--GM12878--PU.1--None
233	GM12878	RAD21	None	TF	233--GM12878--RAD21--None
234	GM12878	RUNX3	None	TF	234--GM12878--RUNX3--None
235	GM12878	RXRA	None	TF	235--GM12878--RXRA--None
236	GM12878	SIX5	None	TF	236--GM12878--SIX5--None
237	GM12878	SP1	None	TF	237--GM12878--SP1--None
238	GM12878	SRF	None	TF	238--GM12878--SRF--None
239	GM12878	STAT5A	None	TF	239--GM12878--STAT5A--None
240	GM12878	TAF1	None	TF	240--GM12878--TAF1--None
241	GM12878	TCF12	None	TF	241--GM12878--TCF12--None
242	GM12878	TCF3	None	TF	242--GM12878--TCF3--None
243	GM12878	USF1	None	TF	243--GM12878--USF1--None
244	GM12878	YY1	None	TF	244--GM12878--YY1--None
245	GM12878	ZBTB33	None	TF	245--GM12878--ZBTB33--None
246	GM12878	ZEB1	None	TF	246--GM12878--ZEB1--None
247	GM12891	PAX5	None	TF	247--GM12891--PAX5--None
248	GM12891	Pol2-4H8	None	Pol	248--GM12891--Pol2-4H8--None
249	GM12891	Pol2	None	Pol	249--GM12891--Pol2--None
250	GM12891	POU2F2	None	TF	250--GM12891--POU2F2--None
251	GM12891	PU.1	None	TF	251--GM12891--PU.1--None
252	GM12891	TAF1	None	TF	252--GM12891--TAF1--None
253	GM12891	YY1	None	TF	253--GM12891--YY1--None
254	GM12892	PAX5	None	TF	254--GM12892--PAX5--None
255	GM12892	Pol2-4H8	None	Pol	255--GM12892--Pol2-4H8--None
256	GM12892	Pol2	None	Pol	256--GM12892--Pol2--None
257	GM12892	TAF1	None	TF	257--GM12892--TAF1--None
258	GM12892	YY1	None	TF	258--GM12892--YY1--None
259	H1-hESC	ATF2	None	TF	259--H1-hESC--ATF2--None
260	H1-hESC	ATF3	None	TF	260--H1-hESC--ATF3--None
261	H1-hESC	BCL11A	None	TF	261--H1-hESC--BCL11A--None
262	H1-hESC	CTCF	None	TF	262--H1-hESC--CTCF--None
263	H1-hESC	EGR1	None	TF	263--H1-hESC--EGR1--None
264	H1-hESC	FOSL1	None	TF	264--H1-hESC--FOSL1--None
265	H1-hESC	GABP	None	TF	265--H1-hESC--GABP--None
266	H1-hESC	HDAC2	None	TF	266--H1-hESC--HDAC2--None
267	H1-hESC	JUND	None	TF	267--H1-hESC--JUND--None
268	H1-hESC	NANOG	None	TF	268--H1-hESC--NANOG--None
269	H1-hESC	NRSF	None	TF	269--H1-hESC--NRSF--None
270	H1-hESC	EP300	None	TF	270--H1-hESC--EP300--None
271	H1-hESC	Pol2-4H8	None	Pol	271--H1-hESC--Pol2-4H8--None
272	H1-hESC	Pol2	None	Pol	272--H1-hESC--Pol2--None
273	H1-hESC	POU5F1	None	TF	273--H1-hESC--POU5F1--None
274	H1-hESC	RAD21	None	TF	274--H1-hESC--RAD21--None
275	H1-hESC	RXRA	None	TF	275--H1-hESC--RXRA--None
276	H1-hESC	SIN3A	None	TF	276--H1-hESC--SIN3A--None
277	H1-hESC	SIX5	None	TF	277--H1-hESC--SIX5--None
278	H1-hESC	SP1	None	TF	278--H1-hESC--SP1--None
279	H1-hESC	SP2	None	TF	279--H1-hESC--SP2--None
280	H1-hESC	SP4	None	TF	280--H1-hESC--SP4--None
281	H1-hESC	SRF	None	TF	281--H1-hESC--SRF--None
282	H1-hESC	TAF1	None	TF	282--H1-hESC--TAF1--None
283	H1-hESC	TAF7	None	TF	283--H1-hESC--TAF7--None
284	H1-hESC	TCF12	None	TF	284--H1-hESC--TCF12--None
285	H1-hESC	TEAD4	None	TF	285--H1-hESC--TEAD4--None
286	H1-hESC	USF1	None	TF	286--H1-hESC--USF1--None
287	H1-hESC	YY1	None	TF	287--H1-hESC--YY1--None
288	HCT-116	Pol2-4H8	None	Pol	288--HCT-116--Pol2-4H8--None
289	HCT-116	YY1	None	TF	289--HCT-116--YY1--None
290	HCT-116	ZBTB33	None	TF	290--HCT-116--ZBTB33--None
291	HeLa-S3	GABP	None	TF	291--HeLa-S3--GABP--None
292	HeLa-S3	NRSF	None	TF	292--HeLa-S3--NRSF--None
293	HeLa-S3	Pol2	None	Pol	293--HeLa-S3--Pol2--None
294	HeLa-S3	TAF1	None	TF	294--HeLa-S3--TAF1--None
295	HepG2	ATF3	None	TF	295--HepG2--ATF3--None
296	HepG2	BHLHE40	None	TF	296--HepG2--BHLHE40--None
297	HepG2	CEBPB	None	TF	297--HepG2--CEBPB--None
298	HepG2	CEBPD	None	TF	298--HepG2--CEBPD--None
299	HepG2	CTCF	None	TF	299--HepG2--CTCF--None
300	HepG2	ELF1	None	TF	300--HepG2--ELF1--None
301	HepG2	FOSL2	None	TF	301--HepG2--FOSL2--None
302	HepG2	FOXA1	None	TF	302--HepG2--FOXA1--None
303	HepG2	FOXA1	None	TF	303--HepG2--FOXA1--None
304	HepG2	FOXA2	None	TF	304--HepG2--FOXA2--None
305	HepG2	GABP	None	TF	305--HepG2--GABP--None
306	HepG2	HDAC2	None	TF	306--HepG2--HDAC2--None
307	HepG2	HNF4A	None	TF	307--HepG2--HNF4A--None
308	HepG2	HNF4G	None	TF	308--HepG2--HNF4G--None
309	HepG2	JUND	None	TF	309--HepG2--JUND--None
310	HepG2	MBD4	None	TF	310--HepG2--MBD4--None
311	HepG2	MYBL2	None	TF	311--HepG2--MYBL2--None
312	HepG2	NFIC	None	TF	312--HepG2--NFIC--None
313	HepG2	NRSF	None	TF	313--HepG2--NRSF--None
314	HepG2	NRSF	None	TF	314--HepG2--NRSF--None
315	HepG2	EP300	None	TF	315--HepG2--EP300--None
316	HepG2	Pol2-4H8	None	Pol	316--HepG2--Pol2-4H8--None
317	HepG2	Pol2	None	Pol	317--HepG2--Pol2--None
318	HepG2	RAD21	None	TF	318--HepG2--RAD21--None
319	HepG2	RXRA	None	TF	319--HepG2--RXRA--None
320	HepG2	SIN3A	None	TF	320--HepG2--SIN3A--None
321	HepG2	SP1	None	TF	321--HepG2--SP1--None
322	HepG2	SP2	None	TF	322--HepG2--SP2--None
323	HepG2	SRF	None	TF	323--HepG2--SRF--None
324	HepG2	TAF1	None	TF	324--HepG2--TAF1--None
325	HepG2	TCF12	None	TF	325--HepG2--TCF12--None
326	HepG2	TEAD4	None	TF	326--HepG2--TEAD4--None
327	HepG2	USF1	None	TF	327--HepG2--USF1--None
328	HepG2	YY1	None	TF	328--HepG2--YY1--None
329	HepG2	ZBTB33	None	TF	329--HepG2--ZBTB33--None
330	HepG2	ZBTB7A	None	TF	330--HepG2--ZBTB7A--None
331	HUVEC	Pol2-4H8	None	Pol	331--HUVEC--Pol2-4H8--None
332	HUVEC	Pol2	None	Pol	332--HUVEC--Pol2--None
333	K562	ATF3	None	TF	333--K562--ATF3--None
334	K562	BCL3	None	TF	334--K562--BCL3--None
335	K562	BCLAF1	None	TF	335--K562--BCLAF1--None
336	K562	CBX3	None	TF	336--K562--CBX3--None
337	K562	CEBPB	None	TF	337--K562--CEBPB--None
338	K562	CTCF	None	TF	338--K562--CTCF--None
339	K562	CTCFL	None	TF	339--K562--CTCFL--None
340	K562	E2F6	None	TF	340--K562--E2F6--None
341	K562	EGR1	None	TF	341--K562--EGR1--None
342	K562	ELF1	None	TF	342--K562--ELF1--None
343	K562	ETS1	None	TF	343--K562--ETS1--None
344	K562	FOSL1	None	TF	344--K562--FOSL1--None
345	K562	GABP	None	TF	345--K562--GABP--None
346	K562	GATA2	None	TF	346--K562--GATA2--None
347	K562	HDAC2	None	TF	347--K562--HDAC2--None
348	K562	MAX	None	TF	348--K562--MAX--None
349	K562	MEF2A	None	TF	349--K562--MEF2A--None
350	K562	NR2F2	None	TF	350--K562--NR2F2--None
351	K562	NRSF	None	TF	351--K562--NRSF--None
352	K562	PML	None	TF	352--K562--PML--None
353	K562	Pol2-4H8	None	Pol	353--K562--Pol2-4H8--None
354	K562	Pol2	None	Pol	354--K562--Pol2--None
355	K562	PU.1	None	TF	355--K562--PU.1--None
356	K562	RAD21	None	TF	356--K562--RAD21--None
357	K562	SIN3A	None	TF	357--K562--SIN3A--None
358	K562	SIX5	None	TF	358--K562--SIX5--None
359	K562	SP1	None	TF	359--K562--SP1--None
360	K562	SP2	None	TF	360--K562--SP2--None
361	K562	SRF	None	TF	361--K562--SRF--None
362	K562	STAT5A	None	TF	362--K562--STAT5A--None
363	K562	TAF1	None	TF	363--K562--TAF1--None
364	K562	TAF7	None	TF	364--K562--TAF7--None
365	K562	TEAD4	None	TF	365--K562--TEAD4--None
366	K562	THAP1	None	TF	366--K562--THAP1--None
367	K562	TRIM28	None	TF	367--K562--TRIM28--None
368	K562	USF1	None	TF	368--K562--USF1--None
369	K562	YY1	None	TF	369--K562--YY1--None
370	K562	YY1	None	TF	370--K562--YY1--None
371	K562	ZBTB33	None	TF	371--K562--ZBTB33--None
372	K562	ZBTB7A	None	TF	372--K562--ZBTB7A--None
373	PANC-1	NRSF	None	TF	373--PANC-1--NRSF--None
374	PANC-1	Pol2-4H8	None	Pol	374--PANC-1--Pol2-4H8--None
375	PANC-1	SIN3A	None	TF	375--PANC-1--SIN3A--None
376	PFSK-1	FOXP2	None	TF	376--PFSK-1--FOXP2--None
377	PFSK-1	NRSF	None	TF	377--PFSK-1--NRSF--None
378	PFSK-1	SIN3A	None	TF	378--PFSK-1--SIN3A--None
379	PFSK-1	TAF1	None	TF	379--PFSK-1--TAF1--None
380	SK-N-MC	FOXP2	None	TF	380--SK-N-MC--FOXP2--None
381	SK-N-MC	Pol2-4H8	None	Pol	381--SK-N-MC--Pol2-4H8--None
382	SK-N-SH	NRSF	None	TF	382--SK-N-SH--NRSF--None
383	SK-N-SH	NRSF	None	TF	383--SK-N-SH--NRSF--None
384	SK-N-SH	Pol2-4H8	None	Pol	384--SK-N-SH--Pol2-4H8--None
385	SK-N-SH_RA	CTCF	None	TF	385--SK-N-SH_RA--CTCF--None
386	SK-N-SH_RA	EP300	None	TF	386--SK-N-SH_RA--EP300--None
387	SK-N-SH_RA	RAD21	None	TF	387--SK-N-SH_RA--RAD21--None
388	SK-N-SH_RA	USF1	None	TF	388--SK-N-SH_RA--USF1--None
389	SK-N-SH_RA	YY1	None	TF	389--SK-N-SH_RA--YY1--None
390	SK-N-SH	SIN3A	None	TF	390--SK-N-SH--SIN3A--None
391	SK-N-SH	TAF1	None	TF	391--SK-N-SH--TAF1--None
392	T-47D	CTCF	DMSO_0.02pct	TF	392--T-47D--CTCF--DMSO_0.02pct
393	T-47D	ERalpha	BPA_100nM	TF	393--T-47D--ERalpha--BPA_100nM
394	T-47D	ERalpha	Genistein_100nM	TF	394--T-47D--ERalpha--Genistein_100nM
395	T-47D	ERalpha	Estradiol_10nM	TF	395--T-47D--ERalpha--Estradiol_10nM
396	T-47D	FOXA1	DMSO_0.02pct	TF	396--T-47D--FOXA1--DMSO_0.02pct
397	T-47D	GATA3	DMSO_0.02pct	TF	397--T-47D--GATA3--DMSO_0.02pct
398	T-47D	EP300	DMSO_0.02pct	TF	398--T-47D--EP300--DMSO_0.02pct
399	U87	NRSF	None	TF	399--U87--NRSF--None
400	U87	Pol2-4H8	None	Pol	400--U87--Pol2-4H8--None
401	A549	BHLHE40	None	TF	401--A549--BHLHE40--None
402	A549	CEBPB	None	TF	402--A549--CEBPB--None
403	A549	MAX	None	TF	403--A549--MAX--None
404	A549	Pol2(phosphoS2)	None	Pol	404--A549--Pol2_phosphoS2_--None
405	A549	RAD21	None	TF	405--A549--RAD21--None
406	GM08714	ZNF274	None	TF	406--GM08714--ZNF274--None
407	GM10847	NFKB	TNFa	TF	407--GM10847--NFKB--TNFa
408	GM10847	Pol2	None	Pol	408--GM10847--Pol2--None
409	GM12878	BHLHE40	None	TF	409--GM12878--BHLHE40--None
